名称,地址,经纬度,电话,省份,城市,区县
独创发型订制,金泰生活购物广场南门旁,"127.392620,46.083142",0451-57578222;13029858234,黑龙江省,哈尔滨市,巴彦县
名人造型(金泰店),金泰超市北门,"127.392837,46.085187",15776233337,黑龙江省,哈尔滨市,巴彦县
铭扬造型(北直路店),巴彦镇北直路195号(建设路楼下商服),"127.400053,46.082897",13845158585,黑龙江省,哈尔滨市,巴彦县
名人造型(盛隆国际店),西直路与北直路交叉路口东北侧(建设小区东侧),"127.401023,46.083146",15776233337,黑龙江省,哈尔滨市,巴彦县
明岩造型专业美发烫染,盛隆国际北门旁,"127.397809,46.087995",17600393522,黑龙江省,哈尔滨市,巴彦县
默飞美业(运输小区店),巴彦镇运输公司楼下西直路335号,"127.400852,46.081624",13845173779;13936020222,黑龙江省,哈尔滨市,巴彦县
森雅美发沙龙,巴彦镇政府南侧迎宾路54号,"127.406224,46.084352",18246563697,黑龙江省,哈尔滨市,巴彦县
佳明美发造型(运输小区店),运输小区西门旁,"127.400918,46.082308",13796045821,黑龙江省,哈尔滨市,巴彦县
朗峰造型(建设小区店),巴彦县拥政路115号盛龙国际小区中国邮政储蓄银行西侧,"127.396221,46.085727",13936144229,黑龙江省,哈尔滨市,巴彦县
爱尚美造型(福泰花园店),福泰小区南门东230米,"127.400371,46.087862",18945670307,黑龙江省,哈尔滨市,巴彦县
流行曲线美发机构(金泰花园店),金泰花园一号楼6号门市,"127.393879,46.082803",15114543353,黑龙江省,哈尔滨市,巴彦县
领航造型(拥政路店),金泰华庭南门东80米,"127.391567,46.085827",15045397075,黑龙江省,哈尔滨市,巴彦县
匠之人小庄发型私人订制(运输小区店),西直路339号,"127.400958,46.081759",13796151670,黑龙江省,哈尔滨市,巴彦县
阿谷造型,兴隆镇人民大街,"127.103692,46.440511",13633612304,黑龙江省,哈尔滨市,巴彦县
东田造型专业烫染(西直路店),运输小区西门旁,"127.400904,46.082174",18704653688,黑龙江省,哈尔滨市,巴彦县
伟伟专业烫染,北直路183号,"127.399364,46.082823",13936024616,黑龙江省,哈尔滨市,巴彦县
古贝造型(人民大街店),兴隆镇人民大街284号,"127.103219,46.440558",15846375437,黑龙江省,哈尔滨市,巴彦县
艺十造型,人民大街154号,"127.397449,46.081226",15545258539,黑龙江省,哈尔滨市,巴彦县
龙造型专业烫染店,西直路178号,"127.400051,46.077466",13945031117,黑龙江省,哈尔滨市,巴彦县
晓丰审美造型(北直路店),北直路与太平路交叉口东20米,"127.403155,46.082488",15561811234,黑龙江省,哈尔滨市,巴彦县
宇迪造型,鑫鑫花园一期D栋1层南7号,"127.403527,46.078432",18245178914,黑龙江省,哈尔滨市,巴彦县
炫彩烫染,集市东路与人民大街交叉口西南20米,"127.410005,46.080595",13603663240,黑龙江省,哈尔滨市,巴彦县
爱时尚形象设计,西直路429号(荣耀官邸对面),"127.401091,46.084829",15945454926,黑龙江省,哈尔滨市,巴彦县
金霞发艺(福泰花园店),巴彦镇福泰花园13号楼南车库,"127.397800,46.088214",[],黑龙江省,哈尔滨市,巴彦县
星创十元美发,吉庆路68号福泰花园,"127.397460,46.088175",17611320709,黑龙江省,哈尔滨市,巴彦县
艺扬美发,人民大街87号龙江新苑,"127.394971,46.081512",[],黑龙江省,哈尔滨市,巴彦县
酷美造型,人民大街450号,"127.410059,46.080412",[],黑龙江省,哈尔滨市,巴彦县
尖端造型专业烫染店(北直路店),巴彦镇金泰步行街A-4,"127.392998,46.083321",13603658310,黑龙江省,哈尔滨市,巴彦县
美天造型(集市路店),集市路223号,"127.406875,46.079579",[],黑龙江省,哈尔滨市,巴彦县
剪吧,集市路241号,"127.405363,46.079653",[],黑龙江省,哈尔滨市,巴彦县
名人造型,盛隆国际西门南50米,"127.395852,46.086006",[],黑龙江省,哈尔滨市,巴彦县
色廊形象设计中心(巴彦商都店),巴彦镇商都北大门,"127.410003,46.080119",15845024783,黑龙江省,哈尔滨市,巴彦县
崇尚造型(建设小区店),广场名苑西门东南60米,"127.401311,46.083845",[],黑龙江省,哈尔滨市,巴彦县
刘野形象设计室,迎宾路与治安路交叉口西北40米,"127.406257,46.084330",[],黑龙江省,哈尔滨市,巴彦县
多美雅美容美发(环保小区店),环保小区,"127.407021,46.082572",[],黑龙江省,哈尔滨市,巴彦县
小光造型(馨园小区店),拥政路209号,"127.399916,46.085564",15945055522,黑龙江省,哈尔滨市,巴彦县
天艺美发(馨园小区店),馨园小区,"127.400301,46.085541",13644649209,黑龙江省,哈尔滨市,巴彦县
