名称,地址,经纬度,电话,省份,城市,区县
楷模造型·接发·烫染(天安路店),地明二区东区东门旁,"129.589043,44.600349",0453-8312777;15734534000,黑龙江省,牡丹江市,爱民区
华美造型(天安路店),天安路59号,"129.591443,44.597184",0453-8105532;15174667545,黑龙江省,牡丹江市,爱民区
依磊造型(熙雅寓家园店),新华路西祥伦街31号熙雅寓小区门市,"129.597142,44.598892",15945348084,黑龙江省,牡丹江市,爱民区
伊美知造型(京江上城店),京江上城小区7号楼115门,"129.600019,44.594083",[],黑龙江省,牡丹江市,爱民区
匠人造型(东方锦绣家园店),康佳街38号,"129.604131,44.594937",13514552988,黑龙江省,牡丹江市,爱民区
楷模造型·接发·烫染·胡须管理(红旗店),通乡路金龙家园19号楼,"129.580834,44.602134",13274579993,黑龙江省,牡丹江市,爱民区
海滨造型(北龙静河小区店),东新荣街271号,"129.618722,44.596819",15304538426,黑龙江省,牡丹江市,爱民区
沙朗烫染造型(御园林小区店),新华市场北门对面,"129.600008,44.599839",[],黑龙江省,牡丹江市,爱民区
米洛造型(康居新城A区店),康居新城A区6号底商,"129.579985,44.592501",13258516703,黑龙江省,牡丹江市,爱民区
张杰造型(东新荣街店),北龙静河小区东南门旁,"129.619597,44.597116",13845366664,黑龙江省,牡丹江市,爱民区
晨凯CK造型美发连锁桥北一分店,纺织二路35号银龙家园4号楼112号门市,"129.608689,44.606367",0453-6821886,黑龙江省,牡丹江市,爱民区
梦美丝发艺(曙光新城店),曙光新城纺织二路21号楼门市,"129.605329,44.610497",13836307374,黑龙江省,牡丹江市,爱民区
风尚造型(文化街店),华隆文苑北门旁,"129.568104,44.587213",[],黑龙江省,牡丹江市,爱民区
新野造型(爱民店),中华路康佳街30号,"129.603948,44.594922",15145330726,黑龙江省,牡丹江市,爱民区
上品发艺(东新荣街店),新荣小区东南门东80米,"129.609355,44.593645",13836308873,黑龙江省,牡丹江市,爱民区
京韩专业烫染沙龙(吉祥花园店),吉祥花园东区南门西100米,"129.594592,44.595763",13514550887,黑龙江省,牡丹江市,爱民区
她雅造型(西新荣街店),兴平路中山家园东侧19号楼104,"129.582617,44.587059",0453-6535457,黑龙江省,牡丹江市,爱民区
匠人造型名店(总店),西新荣街向阳市场铁路16号楼,"129.600041,44.591001",13766666420,黑龙江省,牡丹江市,爱民区
顺艺专业剪烫工作室,新荣小区东南门东60米,"129.609176,44.593594",[],黑龙江省,牡丹江市,爱民区
千艺发型私人定制(京江上城店),西圣林街京江上城小区7号楼,"129.600156,44.594103",13945388216,黑龙江省,牡丹江市,爱民区
尚格美容美发(地明店),兴平路845号绿地凯旋城大门对面,"129.577021,44.597332",13089898879,黑龙江省,牡丹江市,爱民区
东爵造型(天安路店),天安路412附近,"129.589202,44.599941",18045359188,黑龙江省,牡丹江市,爱民区
沐染造型,地明小区,"129.577939,44.596623",15603634858,黑龙江省,牡丹江市,爱民区
丝浓发艺(向阳市场店),向阳市场21号,"129.600525,44.591225",15945325558,黑龙江省,牡丹江市,爱民区
发丝缘造型(向阳街店),天安路向阳街351号,"129.591677,44.594619",18645319626,黑龙江省,牡丹江市,爱民区
理享造型,康居新城A西北门东北60米,"129.580819,44.593505",18904878123,黑龙江省,牡丹江市,爱民区
娟娟发艺(兴东小区店),兴平东路兴东小区33号楼,"129.584743,44.587927",13836315560,黑龙江省,牡丹江市,爱民区
晓晓发型设计(兴平小区店),兴平路40号兴平小区,"129.584229,44.588118",15945335121,黑龙江省,牡丹江市,爱民区
剪爱造型(西圣林街店),西圣林街55号京江上城,"129.600490,44.594240",13945397792,黑龙江省,牡丹江市,爱民区
星雨烫染造型(金龙家园店),金龙家园5号楼28号门市,"129.578628,44.601909",18645388578,黑龙江省,牡丹江市,爱民区
卓越烫染造型旗舰店(文化街店),文化街与西林路交叉口西200米,"129.565957,44.586555",13946364882,黑龙江省,牡丹江市,爱民区
名思造型(康居新城B区店),康居新城B区东南1门旁,"129.584931,44.589456",13614606993,黑龙江省,牡丹江市,爱民区
京潮专业发型设计,仁寿路72号新华市场东门旁,"129.600816,44.598934",17600751321,黑龙江省,牡丹江市,爱民区
顶头尚丝私人发型定制(北方小区店),北方小区东南门旁,"129.591864,44.593219",15636388410,黑龙江省,牡丹江市,爱民区
飘丽廊发型工作室(金龙家园店),金龙家园8号楼105门市,"129.579908,44.601890",13069837688,黑龙江省,牡丹江市,爱民区
靓格造型(师范小区店),西祥伦街师范小区二号楼,"129.596573,44.598529",13604639692,黑龙江省,牡丹江市,爱民区
港澳造型(新荣小区店),中华路9号(气象局对面),"129.607266,44.593414",13504833578,黑龙江省,牡丹江市,爱民区
剪爱造型(兴中路店),兴中路园丁小区4号楼,"129.569831,44.590260",13045331123,黑龙江省,牡丹江市,爱民区
绅阁男士理发馆,文化街西林路诗苑新城6号楼101门市,"129.567761,44.586615",13766658944,黑龙江省,牡丹江市,爱民区
维博蒙造型(地明2区店),天安路438号地明2区,"129.588430,44.601402",13009888939;13514500456,黑龙江省,牡丹江市,爱民区
木北护肤造型(世茂假日山水店),体育街154号,"129.603394,44.607825",15945751935,黑龙江省,牡丹江市,爱民区
铭宇造型,塔机厂师范学院南门对面,"129.563678,44.585774",18304532009,黑龙江省,牡丹江市,爱民区
艺廊造型(文化街店),文化街160号,"129.565518,44.586782",19904538132,黑龙江省,牡丹江市,爱民区
海峰造型染烫店(兴平2区店),中山家园32号门市,"129.583225,44.586375",15845306091,黑龙江省,牡丹江市,爱民区
博时发艺,新丹溪16号楼106门市,"129.616024,44.601830",15204535832,黑龙江省,牡丹江市,爱民区
双面造型(康居新城),兴平路康居新城A6号楼底商A区西门口,"129.580482,44.591989",15694531771,黑龙江省,牡丹江市,爱民区
爱民区温度烫染造型店,新华路西晓云街24号,"129.600173,44.597161",15945756796;18645258518,黑龙江省,牡丹江市,爱民区
魅尚造型(中华路店),中华路150号,"129.605045,44.596237",13694534250,黑龙江省,牡丹江市,爱民区
华彩发型设计(兴东小区店),兴东小区西南门旁,"129.584732,44.587827",[],黑龙江省,牡丹江市,爱民区
阿强造型(北方小区店),西晓云街23号附近,"129.591382,44.593294",15145330495,黑龙江省,牡丹江市,爱民区
大辉发艺,建纺织二路曙光新城小区37号楼旁,"129.607219,44.607502",[],黑龙江省,牡丹江市,爱民区
明明时尚专业造型,机床小区东北门旁,"129.600374,44.593517",13204531855,黑龙江省,牡丹江市,爱民区
姜铃造型(康居新城A区店),康居新城A西门旁,"129.580442,44.591786",15145336508,黑龙江省,牡丹江市,爱民区
创美美容美发(康居新城A区店),兴平路晓云街康居新城b区b一号楼b104门市创美发艺,"129.581954,44.591025",15245357787,黑龙江省,牡丹江市,爱民区
佰源理发工作室(曙光新城店),北山街道纺织二路曙光新城43号楼楼下,"129.605711,44.608872",13674539177,黑龙江省,牡丹江市,爱民区
佳明美发(向阳2区店),天安东二路,"129.597494,44.590572",13766591158,黑龙江省,牡丹江市,爱民区
蒙恩路发型设计,兴平东路76号门市,"129.584262,44.588342",15146330509,黑龙江省,牡丹江市,爱民区
