名称,地址,经纬度,电话,省份,城市,区县,来源城市
独创发型订制,金泰生活购物广场南门旁,"127.392620,46.083142",0451-57578222;13029858234,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
名人造型(金泰店),金泰超市北门,"127.392837,46.085187",15776233337,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
铭扬造型(北直路店),巴彦镇北直路195号(建设路楼下商服),"127.400053,46.082897",13845158585,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
名人造型(盛隆国际店),西直路与北直路交叉路口东北侧(建设小区东侧),"127.401023,46.083146",15776233337,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
明岩造型专业美发烫染,盛隆国际北门旁,"127.397809,46.087995",17600393522,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
默飞美业(运输小区店),巴彦镇运输公司楼下西直路335号,"127.400852,46.081624",13845173779;13936020222,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
森雅美发沙龙,巴彦镇政府南侧迎宾路54号,"127.406224,46.084352",18246563697,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
佳明美发造型(运输小区店),运输小区西门旁,"127.400918,46.082308",13796045821,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
朗峰造型(建设小区店),巴彦县拥政路115号盛龙国际小区中国邮政储蓄银行西侧,"127.396221,46.085727",13936144229,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
爱尚美造型(福泰花园店),福泰小区南门东230米,"127.400371,46.087862",18945670307,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
流行曲线美发机构(金泰花园店),金泰花园一号楼6号门市,"127.393879,46.082803",15114543353,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
领航造型(拥政路店),金泰华庭南门东80米,"127.391567,46.085827",15045397075,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
匠之人小庄发型私人订制(运输小区店),西直路339号,"127.400958,46.081759",13796151670,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
阿谷造型,兴隆镇人民大街,"127.103692,46.440511",13633612304,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
东田造型专业烫染(西直路店),运输小区西门旁,"127.400904,46.082174",18704653688,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
伟伟专业烫染,北直路183号,"127.399364,46.082823",13936024616,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
古贝造型(人民大街店),兴隆镇人民大街284号,"127.103219,46.440558",15846375437,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
艺十造型,人民大街154号,"127.397449,46.081226",15545258539,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
龙造型专业烫染店,西直路178号,"127.400051,46.077466",13945031117,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
晓丰审美造型(北直路店),北直路与太平路交叉口东20米,"127.403155,46.082488",15561811234,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
宇迪造型,鑫鑫花园一期D栋1层南7号,"127.403527,46.078432",18245178914,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
炫彩烫染,集市东路与人民大街交叉口西南20米,"127.410005,46.080595",13603663240,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
爱时尚形象设计,西直路429号(荣耀官邸对面),"127.401091,46.084829",15945454926,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
金霞发艺(福泰花园店),巴彦镇福泰花园13号楼南车库,"127.397800,46.088214",[],黑龙江省,哈尔滨市,巴彦县,哈尔滨市
星创十元美发,吉庆路68号福泰花园,"127.397460,46.088175",17611320709,黑龙江省,哈尔滨市,巴彦县,哈尔滨市
