名称,地址,经纬度,电话,省份,城市,区县
大伟造型(齐齐哈尔克山县),克山镇北二道街北建行对面,"125.871375,48.039425",15046201212,黑龙江省,齐齐哈尔市,克山县
英吉利美发名店,艺苑小区4门市,"125.875033,48.030155",15344521155,黑龙江省,齐齐哈尔市,克山县
潮都专业烫染中心,克山镇通达路12号,"125.874070,48.030763",13796255507;15636950377,黑龙江省,齐齐哈尔市,克山县
美硕美业(帝泰超市店),帝泰超市负一层收银对面,"125.866716,48.031151",15245846683,黑龙江省,齐齐哈尔市,克山县
天圣美发形象设计,镇北大街一段路东,"125.874019,48.034351",0452-4532533,黑龙江省,齐齐哈尔市,克山县
天芳美发,克山镇克山县电业局楼下,"125.871032,48.033298",0452-4734444,黑龙江省,齐齐哈尔市,克山县
头领美发(克山店),南大街与泡北路交叉口北140米,"125.874363,48.031962",13079621345,黑龙江省,齐齐哈尔市,克山县
聚完美造型,北大街三段路东美莱湾B区6号-7号,"125.871375,48.040675",15663272277,黑龙江省,齐齐哈尔市,克山县
天娇发型设计室(幸福家园六区B区店),幸福家园,"125.868868,48.034660",18686979579,黑龙江省,齐齐哈尔市,克山县
名扬美发(置泰·美莱湾B区店),置泰·美莱湾B区,"125.872546,48.040402",18686993210,黑龙江省,齐齐哈尔市,克山县
东方名剪专业烫染(南大街店),克山镇南大街晟豪二期15号-08商服,"125.876164,48.027270",[],黑龙江省,齐齐哈尔市,克山县
喜理造型,美莱湾商业街商铺,"125.871469,48.040844",17812246189,黑龙江省,齐齐哈尔市,克山县
九号美发会所,西大街与西环南街交叉口东40米,"125.862192,48.031163",15232348887,黑龙江省,齐齐哈尔市,克山县
千丝美发,友谊路千丝美发,"125.876677,48.037834",18946274166,黑龙江省,齐齐哈尔市,克山县
伍六七发型工作室,北二道街国税局北走50米路西,"125.872243,48.037048",13069993269,黑龙江省,齐齐哈尔市,克山县
好人缘美发,通达路与南大街交叉口西南40米,"125.874708,48.030534",15904629126,黑龙江省,齐齐哈尔市,克山县
卡·诗(帝泰商业广场店),帝泰商场西商服34号楼136门,"125.866273,48.031584",18445228577,黑龙江省,齐齐哈尔市,克山县
鑫汇美发,新民家园小区西南侧170米,"125.879289,48.019227",[],黑龙江省,齐齐哈尔市,克山县
久红美发,克山镇土地局北美莱湾4号楼,"125.876011,48.038885",13763557287,黑龙江省,齐齐哈尔市,克山县
天姿造型专业染烫机构,步行街口10米路北,"125.875214,48.032062",13206730345;15145254345,黑龙江省,齐齐哈尔市,克山县
传奇美发沙龙,克山镇北二道街税务局西五十米路北,"125.871772,48.036233",18746220044,黑龙江省,齐齐哈尔市,克山县
首艺造型(西大街店),克山镇西大直街路南化建楼下,"125.863045,48.031506",13803616444,黑龙江省,齐齐哈尔市,克山县
丽美怡美容沙龙,置泰·美莱湾B区东南门西130米,"125.873195,48.039403",13644524699,黑龙江省,齐齐哈尔市,克山县
天天美发(置泰·美莱湾B区店),置泰·美莱湾B区,"125.872986,48.040618",15845767188,黑龙江省,齐齐哈尔市,克山县
晓峰发艺(幸福家园五区店),克山镇幸福五期15号,"125.866374,48.039755",[],黑龙江省,齐齐哈尔市,克山县
倾城美业,[],"125.876671,48.037827",18945123912,黑龙江省,齐齐哈尔市,克山县
这厢有理美发沙龙,瑞士家园南门西南50米,"125.869667,48.038564",[],黑龙江省,齐齐哈尔市,克山县
西柚造型,西大街二段路南白酒厂楼下,"125.869524,48.032602",19917762234,黑龙江省,齐齐哈尔市,克山县
奇绩美发·美甲工作室,幸福6期B区4号门市,"125.868905,48.034571",13234942521,黑龙江省,齐齐哈尔市,克山县
克山县暮色沙龙连锁尚美造型,艺苑小区一栋7门,"125.874764,48.031066",15045234540,黑龙江省,齐齐哈尔市,克山县
聚完美造型,北大街三段路东(美莱湾B区6-7),"125.871425,48.040675",18546117772,黑龙江省,齐齐哈尔市,克山县
名流精剪,克山县商品楼2号楼楼下名流精剪,"125.864649,48.032057",15145277808,黑龙江省,齐齐哈尔市,克山县
俊泷发艺,北大街与繁华路交叉口西100米,"125.871878,48.036259",15636956822,黑龙江省,齐齐哈尔市,克山县
千艺美发工作室(置泰·美莱湾B区店),置泰·美莱湾B区,"125.872232,48.041693",13614618415,黑龙江省,齐齐哈尔市,克山县
简尚造型(置泰·美莱湾B区店),建设路一段路北置泰美莱湾B区13号楼-00016,"125.873303,48.039376",15611335913,黑龙江省,齐齐哈尔市,克山县
明星发廊,克山镇政府路茉莉汇对面,"125.878068,48.037333",13766528662,黑龙江省,齐齐哈尔市,克山县
天鑫美发(昊方小区店),康华巷路北昊方小区1号楼一层8和10轴东数120室,"125.877975,48.035875",13101622220,黑龙江省,齐齐哈尔市,克山县
七月美发,[],"125.876871,48.037280",17645222455,黑龙江省,齐齐哈尔市,克山县
大于发廊(银达小区店),银达小区北门东80米,"125.872188,48.036004",18686974436,黑龙江省,齐齐哈尔市,克山县
氧发堂天然植物染发,瑞士家园三号楼,"125.868128,48.038449",0452-8953788;13504524488,黑龙江省,齐齐哈尔市,克山县
木北造型(幸福家园店),幸福六区1号楼北3门,"125.867231,48.038012",18345254509,黑龙江省,齐齐哈尔市,克山县
阿野美发,酱菜厂胡同,"125.874030,48.034940",15046220092,黑龙江省,齐齐哈尔市,克山县
老信男士理发馆,北大街一段路东(克山镇1委7组1街),"125.873610,48.035367",[],黑龙江省,齐齐哈尔市,克山县
发觉美发造型工作室,置泰美莱湾南门往西10号门市,"125.872201,48.039178",[],黑龙江省,齐齐哈尔市,克山县
霜霜美发,繁华路与北大街交叉口西120米,"125.871215,48.036074",[],黑龙江省,齐齐哈尔市,克山县
